layer_name,input,kv_cache,tp_size,latency(ns)
embedding,512,0,8,51615
input_layernorm,512,0,8,121200
q_proj,512,0,8,72944
k_proj,512,0,8,2256
v_proj,512,0,8,2143
rope,512,0,8,30847
o_proj,512,0,8,57455
post_layernorm,512,0,8,120767
gate_proj,512,0,8,187216
up_proj,512,0,8,172383
act_fn,512,0,8,11264
down_proj,512,0,8,168048
final_layernorm,512,0,8,122128
lm_head,512,0,8,362351
embedding,1024,0,8,99839
input_layernorm,1024,0,8,248816
q_proj,1024,0,8,95679
k_proj,1024,0,8,2528
v_proj,1024,0,8,2400
rope,1024,0,8,44815
o_proj,1024,0,8,104879
post_layernorm,1024,0,8,248942
gate_proj,1024,0,8,320159
up_proj,1024,0,8,315199
act_fn,1024,0,8,19264
down_proj,1024,0,8,314879
final_layernorm,1024,0,8,248639
lm_head,1024,0,8,742045
embedding,2048,0,8,205855
input_layernorm,2048,0,8,490749
q_proj,2048,0,8,178144
k_proj,2048,0,8,33120
v_proj,2048,0,8,31200
rope,2048,0,8,74031
o_proj,2048,0,8,187439
post_layernorm,2048,0,8,490685
gate_proj,2048,0,8,610911
up_proj,2048,0,8,611678
act_fn,2048,0,8,39935
down_proj,2048,0,8,598125
final_layernorm,2048,0,8,490462
lm_head,2048,0,8,1406748
embedding,4096,0,8,433598
input_layernorm,4096,0,8,983805
q_proj,4096,0,8,358847
k_proj,4096,0,8,55727
v_proj,4096,0,8,53536
rope,4096,0,8,142078
o_proj,4096,0,8,415310
post_layernorm,4096,0,8,983422
gate_proj,4096,0,8,1214764
up_proj,4096,0,8,1207069
act_fn,4096,0,8,77663
down_proj,4096,0,8,1176733
final_layernorm,4096,0,8,982781
lm_head,4096,0,8,2925113
embedding,8192,0,8,939374
input_layernorm,8192,0,8,1980811
q_proj,8192,0,8,735982
k_proj,8192,0,8,74688
v_proj,8192,0,8,71728
rope,8192,0,8,281744
o_proj,8192,0,8,799469
post_layernorm,8192,0,8,1981787
gate_proj,8192,0,8,2353083
up_proj,8192,0,8,2346106
act_fn,8192,0,8,154175
down_proj,8192,0,8,2688170
final_layernorm,8192,0,8,1976411
lm_head,8192,0,8,5634771
embedding,16384,0,8,2067195
input_layernorm,16384,0,8,4010870
q_proj,16384,0,8,1525516
k_proj,16384,0,8,190064
v_proj,16384,0,8,192334
rope,16384,0,8,558575
o_proj,16384,0,8,1621340
post_layernorm,16384,0,8,3995031
gate_proj,16384,0,8,4805573
up_proj,16384,0,8,4794133
act_fn,16384,0,8,305023
down_proj,16384,0,8,5397780
final_layernorm,16384,0,8,3980885
lm_head,16384,0,8,11595174
embedding,32768,0,8,4388854
input_layernorm,32768,0,8,8369453
q_proj,32768,0,8,3278120
k_proj,32768,0,8,284335
v_proj,32768,0,8,278351
rope,32768,0,8,1161773
o_proj,32768,0,8,3169897
post_layernorm,32768,0,8,7841743
gate_proj,32768,0,8,9716026
up_proj,32768,0,8,9734874
act_fn,32768,0,8,594590
down_proj,32768,0,8,10900440
final_layernorm,32768,0,8,8323998
lm_head,32768,0,8,24334826
embedding,65536,0,8,10884457
input_layernorm,65536,0,8,17622203
q_proj,65536,0,8,6025075
k_proj,65536,0,8,544862
v_proj,65536,0,8,536558
rope,65536,0,8,2225788
o_proj,65536,0,8,5948532
post_layernorm,65536,0,8,14901889
gate_proj,65536,0,8,19868247
up_proj,65536,0,8,20581685
act_fn,65536,0,8,1344653
down_proj,65536,0,8,26422362
final_layernorm,65536,0,8,17561306
lm_head,65536,0,8,52247971
embedding,80000,0,8,13148853
input_layernorm,80000,0,8,21758646
q_proj,80000,0,8,7680848
k_proj,80000,0,8,675071
v_proj,80000,0,8,669774
rope,80000,0,8,2597100
o_proj,80000,0,8,7273633
post_layernorm,80000,0,8,18208025
gate_proj,80000,0,8,24428926
up_proj,80000,0,8,26144236
act_fn,80000,0,8,1687692
down_proj,80000,0,8,32693919
final_layernorm,80000,0,8,20985253
lm_head,80000,0,8,64479533
embedding,100000,0,8,16445790
input_layernorm,100000,0,8,25736762
q_proj,100000,0,8,8845742
k_proj,100000,0,8,837870
v_proj,100000,0,8,829550
rope,100000,0,8,3158313
o_proj,100000,0,8,9111597
post_layernorm,100000,0,8,22950896
gate_proj,100000,0,8,31210383
up_proj,100000,0,8,35296168
act_fn,100000,0,8,2208987
down_proj,100000,0,8,41189067
final_layernorm,100000,0,8,25752346
lm_head,100000,0,8,83296084
embedding,131072,0,8,27563931
input_layernorm,131072,0,8,32289042
q_proj,131072,0,8,11521417
k_proj,131072,0,8,1078749
v_proj,131072,0,8,1074094
rope,131072,0,8,3968760
o_proj,131072,0,8,11925528
post_layernorm,131072,0,8,30550019
gate_proj,131072,0,8,39199107
up_proj,131072,0,8,44590745
act_fn,131072,0,8,2741882
down_proj,131072,0,8,51126075
final_layernorm,131072,0,8,34035215
lm_head,131072,0,8,115348398
